Loyalty#,Behavioral_Month_Cluster_Name
812042,"Avr|Nov Companion
(Less travel on nov)"
366719,"Holiday traveler
(summer companions, winter alone)"
192177,"Avr|Mar Companion
(Less travel on mar)"
273353,No Traveler
249555,"Avr|Jun Companion
(Less travel on jun)"
103862,"Avr|Nov Companion
(Less travel on nov)"
121935,"Avr|Nov Companion
(Less travel on nov)"
224402,"Avr|Point Acumulator
(No companions)"
416768,"Avr|Nov Companion
(Less travel on nov)"
667767,"Avr|Mar Companion
(Less travel on mar)"
955178,"Avr|Oct Companion
(Less travel on oct)"
534716,"Avr|Dec Companion
(Less travel on dec)"
565041,"Avr|Mar Companion
(Less travel on mar)"
596004,"Avr|Point Acumulator
(No companions)"
335839,"Avr|Jun Companion
(Less travel on jun)"
621940,"Holiday traveler
(summer companions, winter alone)"
308379,"Avr|Point Acumulator
(No companions)"
683791,"Avr|Nov Companion
(Less travel on nov)"
715015,"Avr|Nov Companion
(Less travel on nov)"
835796,"Avr|Dec Companion
(Less travel on dec)"
564201,"Avr|Dec Companion
(Less travel on dec)"
572410,"Moderate travelers
(Current average)"
306288,"Avr|Oct Companion
(Less travel on oct)"
568111,"Avr|Nov Companion
(Less travel on nov)"
201220,"Avr|Dec Companion
(Less travel on dec)"
533766,"Avr|Jun Companion
(Less travel on jun)"
990933,"Avr|Nov Companion
(Less travel on nov)"
806850,"Few Trips a Year
(Traveling rarely)"
613265,"Avr|Jun Companion
(Less travel on jun)"
163608,"Avr|Jan Companion
(Less travel on jan)"
