Loyalty#,Behavioral_Month_Cluster_Name
480934,"Avr|Mar Companion
(Less travel on mar)"
549612,"Avr|Point Acumulator
(No companions)"
429460,"Avr|Dec Companion
(Less travel on dec)"
608370,"Avr|Jan Companion
(Less travel on jan)"
530508,"Avr|Mar Companion
(Less travel on mar)"
927943,"Avr|Dec Companion
(Less travel on dec)"
188893,"Moderate travelers
(Current average)"
852392,"Avr|Dec Companion
(Less travel on dec)"
866307,"Avr|Jan Companion
(Less travel on jan)"
932823,"Avr|Point Acumulator
(No companions)"
144514,"Avr|Mar Companion
(Less travel on mar)"
611765,"Holiday traveler
(summer companions, winter alone)"
988178,"Avr|Point Acumulator
(No companions)"
286114,"Avr|Mar Companion
(Less travel on mar)"
205785,"Avr|Dec Companion
(Less travel on dec)"
735304,"Avr|Jun Companion
(Less travel on jun)"
438936,"Avr|Jan Companion
(Less travel on jan)"
243713,"Avr|Feb Companion
(Less travel on feb)"
354730,"Avr|Oct Companion
(Less travel on oct)"
413741,"Moderate travelers
(Current average)"
552965,No Traveler
642313,"Avr|May Companion
(Less travel on may)"
263080,"Moderate travelers
(Current average)"
109767,"Avr|Jun Companion
(Less travel on jun)"
217754,"Avr|Point Acumulator
(No companions)"
157005,"Avr|Point Acumulator
(No companions)"
557752,"Avr|May Companion
(Less travel on may)"
608758,"Avr|Point Acumulator
(No companions)"
599341,"Avr|Point Acumulator
(No companions)"
333502,"Avr|Dec Companion
(Less travel on dec)"
403361,"Avr|May Companion
(Less travel on may)"
543918,"Avr|Dec Companion
(Less travel on dec)"
806030,No Traveler
119200,"Winter Traveler
(December with someone)"
175967,"Avr|Oct Companion
(Less travel on oct)"
238119,"Avr|Jan Companion
(Less travel on jan)"
730388,"Avr|Point Acumulator
(No companions)"
127400,"Moderate travelers
(Current average)"
324557,"Holiday traveler
(summer companions, winter alone)"
742002,"Avr|Point Acumulator
(No companions)"
536567,"Avr|Point Acumulator
(No companions)"
704835,"Avr|Oct Companion
(Less travel on oct)"
733338,No Traveler
758635,No Traveler
823048,No Traveler
612905,"Avr|Dec Companion
(Less travel on dec)"
679908,"Avr|Feb Companion
(Less travel on feb)"
704150,"Moderate travelers
(Current average)"
869743,"Few Trips a Year
(Traveling rarely)"
596179,"Avr|Point Acumulator
(No companions)"
370450,"Avr|Jun Companion
(Less travel on jun)"
501030,"Avr|Jun Companion
(Less travel on jun)"
878633,"Avr|Point Acumulator
(No companions)"
285938,"Moderate travelers
(Current average)"
588237,"Avr|Jan Companion
(Less travel on jan)"
645280,"Avr|Mar Companion
(Less travel on mar)"
864324,"Avr|Nov Companion
(Less travel on nov)"
124678,"Avr|Feb Companion
(Less travel on feb)"
186015,"Holiday traveler
(summer companions, winter alone)"
461108,No Traveler
589580,"Avr|Oct Companion
(Less travel on oct)"
623688,"Avr|Oct Companion
(Less travel on oct)"
751616,"Avr|Jun Companion
(Less travel on jun)"
256147,"Avr|Dec Companion
(Less travel on dec)"
140392,"Avr|Nov Companion
(Less travel on nov)"
541008,"Winter Traveler
(December with someone)"
230908,"Avr|Mar Companion
(Less travel on mar)"
972581,"Avr|Nov Companion
(Less travel on nov)"
157729,No Traveler
910875,"Moderate travelers
(Current average)"
501704,"Avr|Dec Companion
(Less travel on dec)"
529098,"Winter Traveler
(December with someone)"
265297,No Traveler
567875,"Few Trips a Year
(Traveling rarely)"
688524,"Avr|Mar Companion
(Less travel on mar)"
269070,"Avr|Jan Companion
(Less travel on jan)"
387705,"Avr|Jan Companion
(Less travel on jan)"
923293,"Avr|Dec Companion
(Less travel on dec)"
789157,No Traveler
654748,"Winter Traveler
(December with someone)"
984713,No Traveler
114835,"Avr|Jun Companion
(Less travel on jun)"
328936,"Avr|Nov Companion
(Less travel on nov)"
845864,"Avr|Dec Companion
(Less travel on dec)"
645265,"Avr|Mar Companion
(Less travel on mar)"
223587,"Avr|Nov Companion
(Less travel on nov)"
158560,"Avr|Feb Companion
(Less travel on feb)"
417584,"Avr|May Companion
(Less travel on may)"
957912,"Avr|Jun Companion
(Less travel on jun)"
425854,"Avr|Point Acumulator
(No companions)"
695855,"Avr|Jan Companion
(Less travel on jan)"
699511,"Few Trips a Year
(Traveling rarely)"
377322,"Avr|Mar Companion
(Less travel on mar)"
511053,"Avr|May Companion
(Less travel on may)"
890753,No Traveler
796670,"Avr|Jan Companion
(Less travel on jan)"
556136,"Avr|Oct Companion
(Less travel on oct)"
513081,"Avr|Mar Companion
(Less travel on mar)"
930718,"Avr|Nov Companion
(Less travel on nov)"
235872,"Avr|Jan Companion
(Less travel on jan)"
881142,"Few Trips a Year
(Traveling rarely)"
295147,"Avr|May Companion
(Less travel on may)"
306110,"Avr|May Companion
(Less travel on may)"
295217,"Avr|Oct Companion
(Less travel on oct)"
711363,"Holiday traveler
(summer companions, winter alone)"
591731,"Avr|Oct Companion
(Less travel on oct)"
326905,"Avr|Mar Companion
(Less travel on mar)"
375511,"Avr|Point Acumulator
(No companions)"
485283,"Winter Traveler
(December with someone)"
760158,No Traveler
797685,"Holiday traveler
(summer companions, winter alone)"
216467,"Avr|May Companion
(Less travel on may)"
958839,No Traveler
539673,"Avr|Oct Companion
(Less travel on oct)"
484718,"Avr|Mar Companion
(Less travel on mar)"
528492,"Avr|Jun Companion
(Less travel on jun)"
995091,"Few Trips a Year
(Traveling rarely)"
632793,"Avr|Jun Companion
(Less travel on jun)"
382197,"Few Trips a Year
(Traveling rarely)"
705196,"Avr|Oct Companion
(Less travel on oct)"
123094,"Winter Traveler
(December with someone)"
821515,No Traveler
119488,"Avr|Jan Companion
(Less travel on jan)"
287750,"Avr|Dec Companion
(Less travel on dec)"
735846,"Avr|May Companion
(Less travel on may)"
606026,"Avr|Jan Companion
(Less travel on jan)"
460291,"Avr|Nov Companion
(Less travel on nov)"
743001,"Avr|Mar Companion
(Less travel on mar)"
869799,"Moderate travelers
(Current average)"
170585,"Avr|Nov Companion
(Less travel on nov)"
188340,"Avr|Mar Companion
(Less travel on mar)"
670817,"Avr|Point Acumulator
(No companions)"
509513,"Avr|Point Acumulator
(No companions)"
779247,"Avr|Point Acumulator
(No companions)"
111255,"Avr|Point Acumulator
(No companions)"
763061,"Avr|Nov Companion
(Less travel on nov)"
509108,No Traveler
428919,"Avr|Nov Companion
(Less travel on nov)"
139863,"Avr|Feb Companion
(Less travel on feb)"
355331,"Avr|Dec Companion
(Less travel on dec)"
578837,"Avr|Dec Companion
(Less travel on dec)"
467182,"Avr|Jan Companion
(Less travel on jan)"
601407,"Few Trips a Year
(Traveling rarely)"
700871,"Avr|May Companion
(Less travel on may)"
705589,"Avr|May Companion
(Less travel on may)"
746060,"Avr|Point Acumulator
(No companions)"
469718,"Avr|Dec Companion
(Less travel on dec)"
164429,"Avr|Jan Companion
(Less travel on jan)"
708373,"Avr|Nov Companion
(Less travel on nov)"
225088,"Avr|Feb Companion
(Less travel on feb)"
100214,"Avr|Mar Companion
(Less travel on mar)"
459999,"Avr|Jan Companion
(Less travel on jan)"
268128,"Avr|Nov Companion
(Less travel on nov)"
930584,"Moderate travelers
(Current average)"
327796,"Avr|Jan Companion
(Less travel on jan)"
947467,"Avr|Feb Companion
(Less travel on feb)"
743510,"Holiday traveler
(summer companions, winter alone)"
580324,"Avr|Mar Companion
(Less travel on mar)"
845613,No Traveler
936088,"Avr|Point Acumulator
(No companions)"
423324,No Traveler
101945,"Moderate travelers
(Current average)"
713636,"Avr|Dec Companion
(Less travel on dec)"
302509,"Avr|Feb Companion
(Less travel on feb)"
789421,"Avr|Point Acumulator
(No companions)"
404426,"Avr|May Companion
(Less travel on may)"
260106,"Few Trips a Year
(Traveling rarely)"
154643,"Avr|May Companion
(Less travel on may)"
438023,"Avr|Jan Companion
(Less travel on jan)"
397518,"Holiday traveler
(summer companions, winter alone)"
872932,"Avr|Dec Companion
(Less travel on dec)"
407945,"Avr|Point Acumulator
(No companions)"
211714,"Moderate travelers
(Current average)"
410982,"Avr|Jun Companion
(Less travel on jun)"
905213,"Avr|Nov Companion
(Less travel on nov)"
147898,"Avr|Dec Companion
(Less travel on dec)"
530105,"Few Trips a Year
(Traveling rarely)"
610946,"Moderate travelers
(Current average)"
383108,"Avr|Jan Companion
(Less travel on jan)"
836343,"Avr|Nov Companion
(Less travel on nov)"
398535,"Winter Traveler
(December with someone)"
585357,"Avr|Point Acumulator
(No companions)"
784804,"Avr|Nov Companion
(Less travel on nov)"
715764,"Avr|May Companion
(Less travel on may)"
753473,"Avr|Point Acumulator
(No companions)"
980856,"Avr|Jan Companion
(Less travel on jan)"
271660,"Avr|Mar Companion
(Less travel on mar)"
377471,"Avr|Point Acumulator
(No companions)"
830547,No Traveler
264936,"Avr|Point Acumulator
(No companions)"
976513,"Avr|Point Acumulator
(No companions)"
828776,"Few Trips a Year
(Traveling rarely)"
240362,"Avr|Dec Companion
(Less travel on dec)"
137845,"Avr|Jun Companion
(Less travel on jun)"
430569,"Avr|Point Acumulator
(No companions)"
317001,No Traveler
625870,"Avr|Mar Companion
(Less travel on mar)"
660554,"Avr|May Companion
(Less travel on may)"
917630,"Holiday traveler
(summer companions, winter alone)"
670686,"Avr|Point Acumulator
(No companions)"
717660,"Avr|Point Acumulator
(No companions)"
450621,"Avr|Oct Companion
(Less travel on oct)"
939562,"Avr|Point Acumulator
(No companions)"
135250,"Avr|Jun Companion
(Less travel on jun)"
714555,"Avr|Mar Companion
(Less travel on mar)"
947868,"Avr|Point Acumulator
(No companions)"
573661,No Traveler
228580,"Avr|Feb Companion
(Less travel on feb)"
557500,"Avr|Jun Companion
(Less travel on jun)"
238233,"Avr|Feb Companion
(Less travel on feb)"
979309,"Avr|Dec Companion
(Less travel on dec)"
885497,"Holiday traveler
(summer companions, winter alone)"
833569,"Holiday traveler
(summer companions, winter alone)"
120046,"Holiday traveler
(summer companions, winter alone)"
816881,"Avr|Jun Companion
(Less travel on jun)"
717700,"Avr|Jan Companion
(Less travel on jan)"
962278,"Holiday traveler
(summer companions, winter alone)"
245465,"Avr|Nov Companion
(Less travel on nov)"
510372,No Traveler
709920,"Avr|May Companion
(Less travel on may)"
143784,"Avr|Mar Companion
(Less travel on mar)"
602176,"Avr|Oct Companion
(Less travel on oct)"
870998,"Avr|Jun Companion
(Less travel on jun)"
958224,"Avr|Point Acumulator
(No companions)"
837628,"Avr|Mar Companion
(Less travel on mar)"
395460,"Moderate travelers
(Current average)"
136547,"Moderate travelers
(Current average)"
780631,"Winter Traveler
(December with someone)"
166712,"Avr|Nov Companion
(Less travel on nov)"
217695,"Avr|Jun Companion
(Less travel on jun)"
263707,"Avr|Feb Companion
(Less travel on feb)"
638368,"Avr|Feb Companion
(Less travel on feb)"
695529,"Avr|May Companion
(Less travel on may)"
871203,"Few Trips a Year
(Traveling rarely)"
915571,"Avr|Jan Companion
(Less travel on jan)"
642109,"Avr|Point Acumulator
(No companions)"
833701,"Avr|Oct Companion
(Less travel on oct)"
275442,"Avr|Dec Companion
(Less travel on dec)"
374345,"Moderate travelers
(Current average)"
384825,"Moderate travelers
(Current average)"
559233,No Traveler
564650,"Avr|Jan Companion
(Less travel on jan)"
277649,"Avr|Feb Companion
(Less travel on feb)"
732013,"Moderate travelers
(Current average)"
793318,"Avr|Jun Companion
(Less travel on jun)"
830024,"Avr|Feb Companion
(Less travel on feb)"
223684,No Traveler
723262,No Traveler
879892,No Traveler
966117,"Avr|Mar Companion
(Less travel on mar)"
258358,"Few Trips a Year
(Traveling rarely)"
265836,"Avr|Jan Companion
(Less travel on jan)"
474174,"Avr|Feb Companion
(Less travel on feb)"
202299,"Avr|Mar Companion
(Less travel on mar)"
497467,"Avr|Jan Companion
(Less travel on jan)"
134279,No Traveler
635225,"Avr|Jun Companion
(Less travel on jun)"
980198,"Avr|May Companion
(Less travel on may)"
995693,"Winter Traveler
(December with someone)"
861924,"Avr|Feb Companion
(Less travel on feb)"
639383,No Traveler
769731,"Avr|Mar Companion
(Less travel on mar)"
884530,No Traveler
207372,"Winter Traveler
(December with someone)"
543553,"Winter Traveler
(December with someone)"
639701,"Avr|Nov Companion
(Less travel on nov)"
998090,"Avr|Dec Companion
(Less travel on dec)"
283747,"Avr|Feb Companion
(Less travel on feb)"
863122,No Traveler
816593,"Avr|Dec Companion
(Less travel on dec)"
440939,"Avr|Point Acumulator
(No companions)"
585629,"Avr|Oct Companion
(Less travel on oct)"
347932,"Avr|Jun Companion
(Less travel on jun)"
417886,"Avr|May Companion
(Less travel on may)"
514900,No Traveler
203550,"Avr|Dec Companion
(Less travel on dec)"
181825,"Avr|Oct Companion
(Less travel on oct)"
261582,"Avr|Point Acumulator
(No companions)"
679859,"Holiday traveler
(summer companions, winter alone)"
924724,"Avr|Mar Companion
(Less travel on mar)"
122958,"Moderate travelers
(Current average)"
274698,"Avr|Point Acumulator
(No companions)"
149549,"Avr|Jun Companion
(Less travel on jun)"
652291,"Avr|Dec Companion
(Less travel on dec)"
603775,"Avr|Point Acumulator
(No companions)"
948404,"Holiday traveler
(summer companions, winter alone)"
605877,"Avr|Jun Companion
(Less travel on jun)"
994377,"Avr|Mar Companion
(Less travel on mar)"
766927,"Avr|Oct Companion
(Less travel on oct)"
172610,"Avr|Mar Companion
(Less travel on mar)"
702588,"Avr|May Companion
(Less travel on may)"
798248,"Avr|May Companion
(Less travel on may)"
641448,"Avr|May Companion
(Less travel on may)"
406047,"Avr|Jan Companion
(Less travel on jan)"
538902,No Traveler
805110,"Avr|Jun Companion
(Less travel on jun)"
883242,No Traveler
909134,"Avr|Jan Companion
(Less travel on jan)"
294753,"Avr|Point Acumulator
(No companions)"
120613,"Avr|Feb Companion
(Less travel on feb)"
520094,"Avr|Point Acumulator
(No companions)"
754539,"Avr|Jan Companion
(Less travel on jan)"
189611,"Avr|Nov Companion
(Less travel on nov)"
971599,"Avr|Nov Companion
(Less travel on nov)"
521384,"Moderate travelers
(Current average)"
128039,"Avr|May Companion
(Less travel on may)"
565133,"Avr|Point Acumulator
(No companions)"
947876,"Avr|Point Acumulator
(No companions)"
138746,"Avr|Nov Companion
(Less travel on nov)"
564707,"Avr|Feb Companion
(Less travel on feb)"
383898,No Traveler
174996,"Avr|Jun Companion
(Less travel on jun)"
798854,No Traveler
800075,"Avr|Dec Companion
(Less travel on dec)"
410384,"Avr|Jan Companion
(Less travel on jan)"
692304,"Avr|Dec Companion
(Less travel on dec)"
991672,"Winter Traveler
(December with someone)"
344180,"Few Trips a Year
(Traveling rarely)"
703338,No Traveler
922388,"Avr|Dec Companion
(Less travel on dec)"
655743,"Avr|May Companion
(Less travel on may)"
787472,"Avr|Nov Companion
(Less travel on nov)"
667687,No Traveler
348920,"Avr|Dec Companion
(Less travel on dec)"
523394,"Avr|Feb Companion
(Less travel on feb)"
981581,"Avr|Point Acumulator
(No companions)"
639510,"Avr|Dec Companion
(Less travel on dec)"
744675,"Avr|Oct Companion
(Less travel on oct)"
289177,"Few Trips a Year
(Traveling rarely)"
420890,"Winter Traveler
(December with someone)"
357149,"Avr|Jan Companion
(Less travel on jan)"
876207,"Avr|Feb Companion
(Less travel on feb)"
224384,"Avr|Point Acumulator
(No companions)"
650445,"Avr|Point Acumulator
(No companions)"
399982,"Avr|Point Acumulator
(No companions)"
228984,"Avr|Jan Companion
(Less travel on jan)"
221388,"Avr|Mar Companion
(Less travel on mar)"
710053,"Avr|Point Acumulator
(No companions)"
296412,No Traveler
836475,"Avr|Jan Companion
(Less travel on jan)"
901002,"Avr|May Companion
(Less travel on may)"
450979,"Avr|Feb Companion
(Less travel on feb)"
392235,"Avr|May Companion
(Less travel on may)"
529218,"Avr|Oct Companion
(Less travel on oct)"
549132,"Avr|Mar Companion
(Less travel on mar)"
782523,No Traveler
326561,"Few Trips a Year
(Traveling rarely)"
604116,No Traveler
313837,No Traveler
561092,"Avr|Feb Companion
(Less travel on feb)"
234866,"Moderate travelers
(Current average)"
721984,"Avr|Point Acumulator
(No companions)"
772397,"Avr|Dec Companion
(Less travel on dec)"
685792,"Holiday traveler
(summer companions, winter alone)"
344199,"Avr|Dec Companion
(Less travel on dec)"
909385,"Avr|Jun Companion
(Less travel on jun)"
211043,"Avr|Mar Companion
(Less travel on mar)"
459801,"Avr|Jan Companion
(Less travel on jan)"
958243,"Avr|Feb Companion
(Less travel on feb)"
517758,"Avr|Point Acumulator
(No companions)"
712062,"Avr|Jan Companion
(Less travel on jan)"
845945,"Avr|Point Acumulator
(No companions)"
324707,"Avr|Nov Companion
(Less travel on nov)"
184635,"Avr|Point Acumulator
(No companions)"
947123,"Few Trips a Year
(Traveling rarely)"
432598,"Avr|Mar Companion
(Less travel on mar)"
524483,"Avr|Dec Companion
(Less travel on dec)"
413445,No Traveler
257575,"Few Trips a Year
(Traveling rarely)"
352834,"Winter Traveler
(December with someone)"
127590,"Avr|Jan Companion
(Less travel on jan)"
846374,"Avr|Dec Companion
(Less travel on dec)"
651054,No Traveler
776956,"Avr|May Companion
(Less travel on may)"
130368,"Avr|Oct Companion
(Less travel on oct)"
752331,"Avr|Mar Companion
(Less travel on mar)"
986825,"Avr|Feb Companion
(Less travel on feb)"
882024,No Traveler
981343,"Avr|Feb Companion
(Less travel on feb)"
101581,"Avr|Point Acumulator
(No companions)"
329358,"Few Trips a Year
(Traveling rarely)"
497494,"Holiday traveler
(summer companions, winter alone)"
821379,"Few Trips a Year
(Traveling rarely)"
361816,"Avr|Point Acumulator
(No companions)"
734192,"Avr|May Companion
(Less travel on may)"
774724,"Avr|Feb Companion
(Less travel on feb)"
874161,"Holiday traveler
(summer companions, winter alone)"
906396,"Avr|Mar Companion
(Less travel on mar)"
722976,"Avr|Nov Companion
(Less travel on nov)"
747304,"Few Trips a Year
(Traveling rarely)"
613804,"Moderate travelers
(Current average)"
995877,"Few Trips a Year
(Traveling rarely)"
237105,"Few Trips a Year
(Traveling rarely)"
395026,"Avr|Point Acumulator
(No companions)"
702493,No Traveler
894466,"Avr|Jun Companion
(Less travel on jun)"
610393,"Avr|Jun Companion
(Less travel on jun)"
800726,"Avr|May Companion
(Less travel on may)"
111171,"Avr|Jan Companion
(Less travel on jan)"
199959,No Traveler
779434,"Avr|Feb Companion
(Less travel on feb)"
203184,"Avr|Mar Companion
(Less travel on mar)"
225077,"Avr|Point Acumulator
(No companions)"
365816,"Avr|Jan Companion
(Less travel on jan)"
781463,"Avr|Dec Companion
(Less travel on dec)"
644786,"Avr|Jan Companion
(Less travel on jan)"
441440,"Avr|Oct Companion
(Less travel on oct)"
756791,"Avr|Jun Companion
(Less travel on jun)"
401858,"Few Trips a Year
(Traveling rarely)"
819569,"Avr|Jan Companion
(Less travel on jan)"
428826,No Traveler
779435,"Few Trips a Year
(Traveling rarely)"
518533,"Holiday traveler
(summer companions, winter alone)"
568547,"Avr|Oct Companion
(Less travel on oct)"
830931,"Avr|Oct Companion
(Less travel on oct)"
229204,"Winter Traveler
(December with someone)"
437269,"Winter Traveler
(December with someone)"
723390,No Traveler
956005,"Avr|May Companion
(Less travel on may)"
683361,"Holiday traveler
(summer companions, winter alone)"
370486,"Avr|May Companion
(Less travel on may)"
279919,"Avr|Dec Companion
(Less travel on dec)"
635249,"Avr|Jan Companion
(Less travel on jan)"
849415,"Avr|Oct Companion
(Less travel on oct)"
334003,"Avr|Feb Companion
(Less travel on feb)"
256323,"Avr|Nov Companion
(Less travel on nov)"
553567,"Holiday traveler
(summer companions, winter alone)"
612555,"Avr|Nov Companion
(Less travel on nov)"
353128,"Avr|Oct Companion
(Less travel on oct)"
367961,"Avr|Jan Companion
(Less travel on jan)"
431899,"Holiday traveler
(summer companions, winter alone)"
835491,"Avr|Oct Companion
(Less travel on oct)"
791355,"Avr|Point Acumulator
(No companions)"
331258,"Avr|Jun Companion
(Less travel on jun)"
713329,"Avr|Point Acumulator
(No companions)"
422805,"Avr|Mar Companion
(Less travel on mar)"
660376,"Avr|Oct Companion
(Less travel on oct)"
841677,"Avr|May Companion
(Less travel on may)"
412854,"Avr|Nov Companion
(Less travel on nov)"
187010,"Winter Traveler
(December with someone)"
333621,"Avr|Mar Companion
(Less travel on mar)"
270570,"Avr|Jun Companion
(Less travel on jun)"
305171,"Avr|Oct Companion
(Less travel on oct)"
715668,No Traveler
496325,"Avr|Feb Companion
(Less travel on feb)"
873180,"Holiday traveler
(summer companions, winter alone)"
630320,"Moderate travelers
(Current average)"
304944,"Avr|Point Acumulator
(No companions)"
615662,"Avr|Oct Companion
(Less travel on oct)"
887192,"Holiday traveler
(summer companions, winter alone)"
540497,"Avr|Jun Companion
(Less travel on jun)"
673061,"Few Trips a Year
(Traveling rarely)"
336341,"Avr|Point Acumulator
(No companions)"
465530,"Avr|Mar Companion
(Less travel on mar)"
600598,"Avr|May Companion
(Less travel on may)"
724720,"Avr|Jan Companion
(Less travel on jan)"
627489,"Moderate travelers
(Current average)"
264064,No Traveler
740762,"Avr|Oct Companion
(Less travel on oct)"
527622,"Avr|Oct Companion
(Less travel on oct)"
984636,"Avr|Point Acumulator
(No companions)"
110691,"Avr|Feb Companion
(Less travel on feb)"
737791,"Avr|Jun Companion
(Less travel on jun)"
219413,"Avr|Feb Companion
(Less travel on feb)"
260685,"Avr|Point Acumulator
(No companions)"
501363,"Avr|Point Acumulator
(No companions)"
982202,"Winter Traveler
(December with someone)"
218529,"Avr|Oct Companion
(Less travel on oct)"
691645,"Winter Traveler
(December with someone)"
881157,"Avr|Point Acumulator
(No companions)"
426185,"Avr|Feb Companion
(Less travel on feb)"
546758,"Avr|Point Acumulator
(No companions)"
270723,"Avr|Feb Companion
(Less travel on feb)"
275387,"Holiday traveler
(summer companions, winter alone)"
504715,"Avr|May Companion
(Less travel on may)"
380183,"Avr|Jan Companion
(Less travel on jan)"
654817,"Avr|May Companion
(Less travel on may)"
541078,"Avr|May Companion
(Less travel on may)"
555112,"Few Trips a Year
(Traveling rarely)"
726732,"Avr|May Companion
(Less travel on may)"
948327,"Winter Traveler
(December with someone)"
384269,"Avr|Point Acumulator
(No companions)"
791852,"Avr|Jun Companion
(Less travel on jun)"
372183,"Avr|Feb Companion
(Less travel on feb)"
481857,"Avr|Dec Companion
(Less travel on dec)"
765252,"Avr|May Companion
(Less travel on may)"
539358,"Moderate travelers
(Current average)"
697837,"Avr|Point Acumulator
(No companions)"
410921,"Avr|Dec Companion
(Less travel on dec)"
826304,"Avr|Oct Companion
(Less travel on oct)"
200077,"Few Trips a Year
(Traveling rarely)"
597897,"Holiday traveler
(summer companions, winter alone)"
119408,"Winter Traveler
(December with someone)"
241167,"Avr|Nov Companion
(Less travel on nov)"
159275,"Avr|Nov Companion
(Less travel on nov)"
458697,"Avr|Mar Companion
(Less travel on mar)"
620465,"Avr|Dec Companion
(Less travel on dec)"
654578,"Avr|Dec Companion
(Less travel on dec)"
432451,"Avr|Point Acumulator
(No companions)"
251116,No Traveler
381786,No Traveler
440967,"Avr|Jun Companion
(Less travel on jun)"
368292,No Traveler
493677,"Avr|Mar Companion
(Less travel on mar)"
500374,No Traveler
850418,"Avr|Jan Companion
(Less travel on jan)"
406574,"Avr|Point Acumulator
(No companions)"
532925,"Few Trips a Year
(Traveling rarely)"
119837,"Avr|Jan Companion
(Less travel on jan)"
546039,"Avr|Dec Companion
(Less travel on dec)"
950914,"Avr|Mar Companion
(Less travel on mar)"
387129,"Avr|Dec Companion
(Less travel on dec)"
876006,"Avr|Feb Companion
(Less travel on feb)"
230311,"Avr|Jun Companion
(Less travel on jun)"
955991,"Avr|Mar Companion
(Less travel on mar)"
279409,"Avr|Point Acumulator
(No companions)"
293531,"Avr|May Companion
(Less travel on may)"
886127,"Few Trips a Year
(Traveling rarely)"
579005,"Avr|Point Acumulator
(No companions)"
758372,"Avr|Feb Companion
(Less travel on feb)"
436087,"Holiday traveler
(summer companions, winter alone)"
471460,No Traveler
605505,"Avr|Point Acumulator
(No companions)"
413185,"Avr|Mar Companion
(Less travel on mar)"
715462,"Avr|Point Acumulator
(No companions)"
739933,"Moderate travelers
(Current average)"
675106,"Avr|Oct Companion
(Less travel on oct)"
767728,"Winter Traveler
(December with someone)"
244032,"Avr|Jan Companion
(Less travel on jan)"
583648,"Avr|Jun Companion
(Less travel on jun)"
250380,"Moderate travelers
(Current average)"
935504,"Avr|Feb Companion
(Less travel on feb)"
311943,"Avr|May Companion
(Less travel on may)"
811684,"Avr|Feb Companion
(Less travel on feb)"
672103,"Avr|Dec Companion
(Less travel on dec)"
657339,"Avr|Dec Companion
(Less travel on dec)"
433812,"Avr|Oct Companion
(Less travel on oct)"
559304,"Avr|Mar Companion
(Less travel on mar)"
290249,"Avr|Point Acumulator
(No companions)"
948815,"Avr|Point Acumulator
(No companions)"
513229,"Moderate travelers
(Current average)"
501278,"Avr|Feb Companion
(Less travel on feb)"
500455,"Avr|Point Acumulator
(No companions)"
277356,"Few Trips a Year
(Traveling rarely)"
615394,"Avr|Point Acumulator
(No companions)"
936723,"Avr|Jun Companion
(Less travel on jun)"
158314,"Few Trips a Year
(Traveling rarely)"
418090,"Avr|Feb Companion
(Less travel on feb)"
769623,"Avr|Point Acumulator
(No companions)"
685314,"Avr|May Companion
(Less travel on may)"
413282,"Avr|May Companion
(Less travel on may)"
884088,"Avr|Point Acumulator
(No companions)"
445867,"Avr|Nov Companion
(Less travel on nov)"
568286,"Avr|Jun Companion
(Less travel on jun)"
965066,"Few Trips a Year
(Traveling rarely)"
516329,"Avr|Point Acumulator
(No companions)"
945479,"Avr|Mar Companion
(Less travel on mar)"
363925,"Winter Traveler
(December with someone)"
798216,"Avr|Point Acumulator
(No companions)"
822694,"Avr|Mar Companion
(Less travel on mar)"
747483,"Winter Traveler
(December with someone)"
784838,"Avr|Nov Companion
(Less travel on nov)"
405597,"Avr|Dec Companion
(Less travel on dec)"
502592,"Moderate travelers
(Current average)"
420010,No Traveler
416620,No Traveler
198424,"Avr|Point Acumulator
(No companions)"
244099,"Avr|Nov Companion
(Less travel on nov)"
814653,"Avr|Jan Companion
(Less travel on jan)"
636505,"Avr|Jun Companion
(Less travel on jun)"
110142,"Few Trips a Year
(Traveling rarely)"
685346,"Moderate travelers
(Current average)"
967634,No Traveler
919506,No Traveler
272944,"Avr|Jan Companion
(Less travel on jan)"
512906,"Winter Traveler
(December with someone)"
490984,"Moderate travelers
(Current average)"
